,precision,recall,f1-score,support
positive,0.7187574671445639,0.7940865892291447,0.7545465947573059,3788.0
neutral,0.02444987775061125,0.3431372549019608,0.04564721225953701,204.0
negative,0.8189432989690721,0.42253989361702127,0.5574561403508772,3008.0
micro avg,0.5056976744186047,0.6212857142857143,0.5575641025641026,7000.0
macro avg,0.5207168812880824,0.5199212459160423,0.4525499824559067,7000.0
weighted avg,0.7415746434148145,0.6212857142857143,0.6491946574881513,7000.0
